occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry,lat,lon
ULB_RL_613606,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,1,,1852,,,18520000,,Austria,47.06666667,12.7,,provided,4526214.68209187|2665195.57252966,47.06666667,12.7
ULB_RL_613521,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,1,,1882,,,18820000,,Austria,46.78248504,14.96572113,,provided,4700234.76868745|2642588.10137345,46.78248504,14.96572113
ULB_RL_613535,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,1,,1887,,,18870000,,Austria,47.61584312,15.1490442,,provided,4707986.38862427|2735940.81915462,47.61584312,15.1490442
PR-423432_602135,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,,1,,1911,,,,,Austria,47.24913,11.06562,,provided,4401728.2023931|2682308.03966765,47.24913,11.06562
PR-691879_602191,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,F,1,,1911,,,,,Austria,47.0425,13.1796,,provided,4562754.5428261|2663958.46259215,47.0425,13.1796
PR-691880_602208,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,M,1,,1911,,,,,Austria,47.0425,13.1796,,provided,4562754.5428261|2663958.46259215,47.0425,13.1796
ULB_RL_613530,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,1,,1911,,,19110000,,Austria,47.24913056,11.06561682,,provided,4401727.96063835|2682308.09840866,47.24913056,11.06561682
ULB_RL_613557,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,2,,1911,,,19110000,,Austria,47.0425,13.1796,,provided,4562754.5428261|2663958.46259215,47.0425,13.1796
PR-423454_602214,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,W,1,,1919,,,,,Austria,47.1,12.35,,provided,4499510.2250545|2667990.79738235,47.1,12.35
ULB_RL_613607,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,1,,1919,,,19190000,,Austria,47.1,12.35,,provided,4499510.2250545|2667990.79738235,47.1,12.35
PR-423444_602139,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,,1,,1923,,,,,Austria,47.38246,10.43227,,provided,4353664.8252997|2696635.05420012,47.38246,10.43227
ULB_RL_613655,MarshallL_ULBSTEPPlus_2023,ULB,Bombus alpinus,,1,,1923,,,19230000,,Austria,47.38246171,10.43226565,,provided,4353664.49551793|2696635.24225639,47.38246171,10.43226565
PR-676681_602197,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,M,2,,1930,,,,,Austria,47.09306,12.625,,provided,4520416.65248738|2667921.19036783,47.09306,12.625
PR-676682_602198,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,M,1,,1930,,,,,Austria,47.09306,12.625,,provided,4520416.65248738|2667921.19036783,47.09306,12.625
PR-676702_602156,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,F,4,,1930,,,,,Austria,47.09306,12.625,,provided,4520416.65248738|2667921.19036783,47.09306,12.625
PR-676730_602157,BDFGM_Bombus_2023,Guillaume Ghisbain & Pierre Rasmont,Bombus alpinus,F,4,,1930,,,,,Austria,47.09306,12.625,,provided,4520416.65248738|2667921.19036783,47.09306,12.625
