occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry,license,recordedBy,individualCount,year,month,day,gbifRegion,habitat,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,databaseName
PR_Megachilidae_RL_79621,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,1,,2008,7,2,2008/7/2;2008/7/2,2008,France,43.33333,5.48333,,provided,3953965.45259384|2258284.99089033,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79622,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,1,,2008,7,2,2008/7/2;2008/7/2,2008,France,43.33333,5.48333,,provided,3953965.45259384|2258284.99089033,,,,,,,,,,,,,,,,
ULB_RL_1424243,MarshallL_ULBSTEPPlus_2023,ULB,Megachile sculpturalis,,2,,2008,,,2008/NA/NA;NA/NA/NA,,France,43.33333,5.48333,,provided,3953965.45259384|2258284.99089033,,,,,,,,,,,,,,,,
ADDm_MA_404,ADD_PULSE_2024,MA Colln.,Megachile sculpturalis,F,1,,2013,7,18,NA;NA,,France,43.297,5.575,,provided,3961182.0985883|2253821.43684712,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79658,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,1,,2016,7,10,2016/7/10;2016/7/10,2016,France,43.30778,6.309166,,provided,4020875.78033397|2251789.52500379,,,,,,,,,,,,,,,,
UNIPD_bee_RL_4261,CappellariA_Italy_2023,Andree Cappellari & Daria Corcos & Lorenzo Marini,Megachile sculpturalis,,1,Carduus personata,2018,7,13,2018/07/13;NA,,Italy,46.202528,11.664278,50,provided,4449587.40741467|2566932.31710959,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6765,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,M,1,Carduus personata,2018,7,17,2018/7/17;2018/7/10,2018,Italy,46.202528,11.664278,100,provided,4449587.40741467|2566932.31710959,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79648,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,3,,2018,8,20,2018/8/20;2018/8/20,2018,Italy,41.92981,12.50228,,provided,4529264.09570188|2095281.17157274,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6769,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,3,,2018,8,20,2018/8/20;NA/NA/NA,,Italy,41.929815,12.502277,100,provided,4529263.82907056|2095281.71639959,,,,,,,,,,,,,,,,
UNIPD_bee_RL_4260,CappellariA_Italy_2023,Andree Cappellari & Lorenzo Marini,Megachile sculpturalis,,7,Buddleja davidii,2019,7,9,2019/07/09;NA,,Italy,45.649502,11.7196,50,provided,4455220.73732473|2505652.79813274,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79643,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,5,,2020,7,10,2020/7/10;2020/7/10,2020,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79644,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,7,,2020,7,10,2020/7/10;2020/7/10,2020,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6773,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,5,,2020,7,10,2020/7/10;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6774,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,M,7,,2020,7,10,2020/7/10;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79641,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,3,,2020,7,8,2020/7/8;2020/7/8,2020,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79642,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,6,,2020,7,8,2020/7/8;2020/7/8,2020,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6771,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,3,,2020,7,8,2020/7/8;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6772,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,M,6,,2020,7,8,2020/7/8;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79649,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,2,,2020,8,8,2020/8/8;2020/8/8,2020,Italy,41.92981,12.50228,,provided,4529264.09570188|2095281.17157274,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6770,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,2,,2020,8,8,2020/8/8;NA/NA/NA,,Italy,41.929815,12.502277,100,provided,4529263.82907056|2095281.71639959,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79645,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,1,,2021,6,29,2021/6/29;2021/6/29,2021,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79646,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,7,,2021,6,29,2021/6/29;2021/6/29,2021,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6775,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,1,,2021,6,29,2021/6/29;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6776,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,M,7,,2021,6,29,2021/6/29;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
MS_bees_IT_RL_1866,SelisM_Italy_2023,Marco Selis,Megachile sculpturalis,M,1,,2021,7,26,2021/7/26;NA/NA/NA,,Italy,42.3338,12.1518,500,provided,4498916.03026872|2139084.46392436,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79656,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,1,,2021,7,26,2021/7/26;2021/7/26,2021,Italy,42.3338,12.1518,,provided,4498916.03026872|2139084.46392436,,,,,,,,,,,,,,,,
MS_bees_IT_RL_1867,SelisM_Italy_2023,Marco Selis,Megachile sculpturalis,M,1,,2021,7,28,2021/7/28;NA/NA/NA,,Italy,42.4724,13.0095,500,provided,4569224.49451359|2156847.58346306,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79657,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,1,,2021,7,28,2021/7/28;2021/7/28,2021,Italy,42.4724,13.0095,,provided,4569224.49451359|2156847.58346306,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6766,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,4,,2021,7,3,2021/7/3;2021/6/28,2021,Italy,41.902198,12.582673,100,provided,4536049.41346851|2092452.16458725,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6767,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,M,11,,2021,7,3,2021/7/3;2021/6/28,2021,Italy,41.902198,12.582673,100,provided,4536049.41346851|2092452.16458725,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79640,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,2,,2022,6,19,2022/6/19;2022/6/19,2022,Italy,41.9022,12.58267,,provided,4536049.15674535|2092452.37727246,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6768,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,2,,2022,6,19,2022/6/19;NA/NA/NA,,Italy,41.902198,12.582673,100,provided,4536049.41346851|2092452.16458725,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79647,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,3,,2022,7,21,2022/7/21;2022/7/21,2022,Italy,41.91456,12.48916,,provided,4528224.28278986|2093558.11693558,,,,,,,,,,,,,,,,
SURMZ_bees_RL_6777,MeiM_Sapienza_2023,Maurizio Mei,Megachile sculpturalis,F,3,,2022,7,21,2022/7/21;NA/NA/NA,,Italy,41.914559,12.489164,100,provided,4528224.6190466|2093558.01729457,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79638,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,F,4,,,,,NA/NA/NA;NA/NA/NA,,Italy,41.9022,12.58267,,provided,4536049.15674535|2092452.37727246,,,,,,,,,,,,,,,,
PR_Megachilidae_RL_79639,BDFGM_Megachilidae_2023,Pierre Rasmont,Megachile sculpturalis,M,11,,,,,NA/NA/NA;NA/NA/NA,,Italy,41.9022,12.58267,,provided,4536049.15674535|2092452.37727246,,,,,,,,,,,,,,,,
SM_bees_SR_RL_621,StojnicS_Serbia_2023,Sonja Stojnic,Megachile sculpturalis,M,1,,2017,,,2017/NA/NA;NA/NA/NA,,Serbia,44.80461,20.48321,500,provided,5148791.82067401|2468573.06059094,,,,,,,,,,,,,,,,
SM_bees_SR_RL_622,StojnicS_Serbia_2023,Sonja Stojnic,Megachile sculpturalis,F,1,,2019,7,20,2019/7/20;NA/NA/NA,,Serbia,45.36797,19.53803,500,provided,5067046.67149346|2520668.2344212,,,,,,,,,,,,,,,,
SM_bees_SR_RL_623,StojnicS_Serbia_2023,Sonja Stojnic,Megachile sculpturalis,M,1,,2019,7,20,2019/7/20;NA/NA/NA,,Serbia,45.36797,19.53803,500,provided,5067046.67149346|2520668.2344212,,,,,,,,,,,,,,,,
ADDm_AG_402,ADD_PULSE_2024,AG Colln.,Megachile sculpturalis,F,1,,2016,8,11,NA;NA,,Slovenia,46.41157,13.724182,,provided,4607514.26678341|2595885.08320539,,,,,,,,,,,,,,,,
ADDm_AG_408,ADD_PULSE_2024,AG Colln.,Megachile sculpturalis,F,1,,2018,7,25,NA;NA,,Slovenia,46.065431,14.504062,,provided,4669673.13189026|2560830.99885597,,,,,,,,,,,,,,,,
ADDm_AG_409,ADD_PULSE_2024,AG Colln.,Megachile sculpturalis,M,1,,2018,7,25,NA;NA,,Slovenia,46.065431,14.504062,,provided,4669673.13189026|2560830.99885597,,,,,,,,,,,,,,,,
ADDm_AG_410,ADD_PULSE_2024,AG Colln.,Megachile sculpturalis,M,1,,2018,7,25,NA;NA,,Slovenia,46.065431,14.504062,,provided,4669673.13189026|2560830.99885597,,,,,,,,,,,,,,,,
